,label,lentitle,wctitle,punctitle,digittitle,capitaltitle,startitle,uppertitle3,uppertitle4,r_e,r_h,r_m,f_e,f_h,f_m
1806,1,78,12,5,78,74,0,0,0,1,2,3,2,0,2
1807,0,87,15,2,86,68,0,1,1,3,1,1,3,2,3
1808,0,62,12,3,62,57,0,0,0,1,2,0,1,1,3
1809,0,46,7,0,46,42,0,0,0,1,0,3,0,0,0
1810,0,56,8,0,56,50,0,0,0,0,0,1,1,0,4
1811,1,58,10,2,58,56,0,0,0,1,1,2,1,1,1
1812,1,68,11,0,68,60,0,0,0,3,1,1,3,0,0
1813,1,87,17,4,87,85,0,0,0,1,1,6,4,1,1
1814,1,61,12,3,58,54,0,0,0,5,0,1,1,0,2
1815,0,71,14,2,71,62,0,0,0,0,1,1,3,1,3
1816,1,58,11,3,57,56,0,0,0,2,0,2,1,0,1
1817,1,62,12,3,58,52,0,0,0,0,2,2,3,1,0
1818,0,76,12,4,76,66,0,0,0,1,1,2,1,0,4
1819,0,77,12,1,77,66,0,0,0,0,1,0,2,1,7
1820,0,60,8,4,60,49,0,0,0,0,0,0,1,0,1
1821,0,82,15,0,82,68,0,0,0,1,1,5,3,0,2
1822,1,65,13,1,65,58,0,0,0,2,0,3,2,0,3
1823,1,64,10,0,64,55,0,0,0,0,1,5,1,0,1
1824,0,63,12,1,63,52,0,0,0,2,0,2,1,0,5
1825,1,61,10,0,60,58,0,0,0,1,2,2,0,0,0
1826,1,74,11,5,74,70,0,0,0,0,2,3,3,0,1
1827,1,77,13,3,77,72,0,0,0,0,2,4,4,0,1
1828,1,80,17,1,80,67,0,0,0,1,0,7,5,1,1
1829,1,76,13,2,76,73,0,0,0,0,0,3,3,0,1
1830,1,110,19,3,106,105,0,0,0,2,3,2,3,0,2
1831,0,68,12,2,68,64,0,0,0,0,1,2,0,0,3
1832,0,32,7,1,32,29,0,0,0,0,0,0,3,0,2
1833,0,105,22,3,105,85,0,0,0,1,2,3,7,2,4
1834,0,71,11,5,64,62,0,0,0,0,0,2,1,0,2
1835,1,69,14,0,69,62,0,0,0,0,2,1,4,1,2
1836,1,54,9,0,54,51,0,0,0,3,0,2,1,0,1
1837,1,73,11,0,73,69,0,0,0,0,0,6,1,0,2
1838,0,73,12,1,73,62,0,0,0,0,1,2,0,3,3
1839,0,42,7,1,42,30,0,1,1,0,0,0,0,1,4
1840,1,65,10,0,65,62,0,0,0,2,0,0,1,0,3
1841,1,68,12,0,68,67,0,0,0,1,3,1,1,0,2
1842,1,44,8,0,44,41,0,0,0,1,2,1,1,0,2
1843,0,124,19,2,124,113,0,0,0,0,0,3,7,0,7
1844,0,28,6,1,28,24,0,0,0,0,1,0,1,1,1
1845,0,71,11,0,71,69,0,0,0,0,0,0,2,0,4
1846,1,62,9,0,62,59,0,0,0,1,0,5,0,0,0
1847,0,49,8,4,49,42,0,0,0,0,2,1,0,0,2
1848,0,90,16,3,90,62,0,1,1,1,1,2,3,0,2
1849,1,38,7,0,38,36,0,0,0,2,0,1,1,0,0
1850,0,96,13,2,96,13,0,1,1,0,0,0,2,1,2
1851,0,78,11,2,78,68,0,0,0,0,0,0,2,0,5
1852,0,69,13,3,69,65,0,0,0,0,0,3,3,0,2
1853,1,48,8,1,48,44,0,0,0,2,0,1,0,0,1
1854,0,88,16,2,88,76,0,0,0,2,0,2,3,0,7
