Date,qty_ordered
2021-01-18,2
2021-03-11,2
2021-03-11,2
2021-09-12,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-12-20,2
2020-12-20,2
2021-02-06,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-09,2
2020-10-13,2
2020-10-15,2
2020-10-18,2
2020-10-25,2
2020-11-06,2
2020-11-06,2
2020-11-18,2
2020-11-18,2
2020-11-18,2
2020-11-29,2
2020-11-29,2
2020-11-29,2
2020-10-01,2
2020-10-03,1
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-10,2
2020-10-16,2
2020-10-01,3
2020-10-21,2
2020-10-21,2
2020-10-21,2
2020-10-01,1
2020-10-03,1
2020-10-03,2
2020-10-08,2
2020-10-08,2
2020-10-08,2
2020-10-09,2
2020-10-29,2
2020-11-06,2
2020-11-25,2
2020-11-25,2
2020-11-25,2
2020-11-26,2
2020-12-03,4
2020-12-03,4
2020-12-03,4
2020-12-12,2
2020-12-12,2
2020-12-14,2
2020-12-14,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-25,2
2020-10-01,2
2020-10-02,2
2020-10-02,2
2020-10-11,1
2020-11-28,2
2020-12-01,2
2020-12-01,2
2020-12-01,2
2020-12-01,2
2020-12-01,2
2020-12-02,2
2020-12-05,2
2020-12-26,2
2021-07-18,6
2020-10-01,2
2020-10-01,2
2020-10-01,4
2020-10-01,3
2020-10-01,2
2020-12-12,3
2020-12-12,2
2020-12-28,2
2020-12-28,2
2021-04-05,2
2021-06-08,2
2021-06-08,2
2021-06-08,2
2021-06-08,2
2021-06-09,2
2021-06-09,2
2021-06-09,2
2021-06-09,2
2021-07-19,2
2021-07-19,2
2021-07-19,3
2021-07-19,2
2021-07-19,3
2021-09-15,2
2021-09-15,2
2021-09-15,2
2021-09-15,2
2021-09-15,2
2021-09-15,2
2020-10-01,3
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-02,2
2020-10-02,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-22,3
2020-10-22,3
2020-10-22,3
2020-10-22,3
2020-10-30,2
2020-10-30,3
2020-10-30,3
2020-10-30,2
2020-10-30,2
2020-10-30,2
2020-10-30,2
2020-10-30,2
2020-10-30,2
2020-10-30,3
2020-10-30,3
2020-10-30,2
2020-10-31,3
2020-10-31,3
2020-10-31,2
2020-10-31,2
2020-10-31,2
2020-10-31,2
2020-10-31,3
2020-10-31,2
2020-10-31,2
2020-10-31,3
2020-10-31,3
2020-10-31,3
2020-10-31,3
2020-10-31,3
2020-10-31,3
2020-10-31,3
2020-10-31,2
2020-10-31,2
2020-10-31,2
2020-10-31,2
2020-10-31,3
2020-11-01,2
2020-11-01,2
2020-11-01,3
2020-11-01,3
2020-11-01,3
2020-11-01,3
2020-11-06,2
2020-11-08,2
2020-11-08,2
2020-11-20,4
2020-11-25,2
2020-11-25,2
2020-11-25,2
2020-11-25,2
2020-11-27,11
2020-11-27,6
2020-11-27,6
2020-11-28,4
2020-11-28,4
2020-11-28,4
2020-11-28,4
2020-12-09,4
2020-12-09,3
2020-12-10,3
2020-12-13,11
2020-12-18,3
2020-12-18,3
2020-12-21,1
2020-12-21,2
2020-12-21,2
2020-12-22,2
2020-12-23,2
2020-12-23,2
2020-12-24,2
2020-12-24,2
2020-12-24,3
2020-12-24,3
2020-12-24,6
2020-12-24,3
2020-12-24,3
2020-12-24,3
2020-12-24,2
2020-12-25,2
2020-12-25,2
2020-12-25,2
2020-12-25,2
2020-12-25,2
2020-12-25,2
2020-12-25,2
2020-12-27,2
2020-12-27,2
2020-12-27,2
2020-12-29,1
2021-01-02,2
2021-01-02,3
2021-01-02,2
2021-01-02,2
2021-01-02,2
2021-01-02,2
2021-01-07,2
2021-01-07,2
2021-01-08,2
2021-01-08,3
2021-01-14,2
2021-01-14,2
2021-01-28,2
2021-02-25,3
2021-02-25,3
2021-02-25,3
2021-02-25,3
2021-02-25,2
2021-02-26,2
2021-02-26,2
2021-03-03,2
2021-03-03,2
2021-03-05,2
2021-03-05,2
